Спартак Москва 2 3 -0 Завершен Сибирь,"13' Бакаев С.
43' Мелкадзе Г.
65' Рудковский Е."
Тамбов 0 -1 Завершен Армавир,45+2' Поляков О.
Краснодар 2 0 -0 Завершен Тюмень,0-0
Чертаново 3 -1 Завершен Нижний Новгород,"46' Zinkovskiy A.
53' Glushenkov M.
61' Abramov A.
79' Zinkovskiy A.(Пенальти)"
Зенит 2 0 -1 Завершен Томь,54' Кузьмичев И.
Мордовия 0 -1 Завершен СКА-Хабаровск,38' Приндета В.
Сочи 4 -2 Завершен Ротор,"2' Gorbunov I.(Померко А.)
16' Барсов М.(Пенальти)
30' Pesegov E.
62' Померко А.(Барсов М.)
88' Мязин А.
90+4' Мязин А."
Шинник 1 -0 Завершен Факел,55' Самойлов Д.(Пенальти)
Авангард Курск 4 -0 Завершен Химки,"29' Трошечкин А.
61' Акбашев Р.
77' Minaev R.
85' Dashayev A."
Балтика 0 -2 Завершен Луч,"17' Степанец П.
48' (Пенальти)Павленко А."
Вест Хэм U23 0 -2 Завершен Динамо Загреб 2,"25' Кнезевич Б.
64' Кнезевич Б."
Фигейренсе 2 -3 Завершен Пайсанду,"6' Elton
14' Elton
36' (Пенальти)Carmona P.
56' Renato
90+1' Timbo"
Понте-Прета 2 -0 Завершен Коритиба,39' Junior Santos(de V. M.)
,"11' Бисесвар Д.
68' Iatroudis G.
79' Вернблум П."
Англия U19 4 -0 Завершен Молдова U19,"24' Галлахер К.
65' Loader D.
85' Saka B.
90+7' Sessegnon R."
Азербайджан U19 1 -4 Завершен Израиль U19,"9' Kanaan M.
28' Masarwa S.
56' Arad B.
64' Arad B.
82' Gasimov E."
Франция U19 1 -0 Завершен Мальта U19,35' Abi C.
Греция U19 4 -0 Завершен Гибралтар U19,"3' Tzimas P.
14' Войлис А.
45' Emmanouilidis D.
86' Emmanouilidis D."
Румыния U19 1 -1 Завершен Болгария U19,"16' Mihaila V.(Пенальти)
90+8' Mitkov M."
Грузия U19 7 -0 Завершен Лихтенштейн U19,"18' Davitashvili Z.
23' Guliashvili G.
49' Guliashvili G.
51' Guliashvili G.
52' Kvaratskhelia K.
63' Babunadze T.
80' Ivaniadze G."
Македония U19 1 -1 Завершен Хорватия U19,"11' Churlinov D.
55' Sutalo B."
,"29' (Пенальти)Openda L.
58' Лутонда Т.
72' Reyners T.
80' Reyners T."
Исландия U19 2 -1 Завершен Турция U19,"39' Willumsson B. D.
84' Gudjohnsen Andri G.
90+3' Akgun Y."
,"26' Skvortsov L.
33' Zhakipbayev M.
54' Влахович Д.
78' Vidosavljevic M."
,"4' Pachlopnik O.
16' Schaus Y.
56' Heidenreich D."
Швеция U19 2 -1 Завершен Сан-Марино U19,"54' Mbunga Kimpioka B.
67' Moretti D."
,"68' Уильямс Н.
85' (Пенальти)Гилмур Б."
Сайпа 0 -0 Завершен Машин Сази,0-0
,"25' Harmon V.
34' Sevelovs K.
42' Harmon V.
47' Fjodorovs V.
54' Laguns J.
56' Karklins E.
67' Fjodorovs V.
82' 
90+1' Джамалутдинов Т.(Пенальти)"
,0-0
Словакия U17 2 -1 Завершен Венгрия U17,"22' Gomola M.
37' Sabo V.
89' Molnar R."
Германия U19 0 -1 Завершен Португалия U19,57' Neto P.
Ирландия U17 1 -4 Завершен Германия U17,"4' Lemperle T.
63' Weis M.
67' (Пенальти)Calhanoglu K.
70' Everitt M.
88' Dardai M."
Чехия U17 0 -0 Завершен Англия U17,0-0
Хорватия U21 3 -1 Завершен Беларусь U21,"35' 
49' 
55' 
56' "
,
Алавес (Исп) 2 -0 Завершен Осасуна (Исп),"52' Бургуй
86' Paulino"
,70' Proschwitz N.
Леганес (Исп) 1 -3 Завершен Алькоркон (Исп),"66' Mayoral D.
79' Перейра Х.
85' Gavilan J.
88' Гумбау Х.(Пенальти)"
,39' Morgan A.
Депортиво (Ж) (Исп) 0 -1 Завершен Athletic Bilbao (Ж) (Исп),78' Arraiza E.
,41' Браун К.
Мексика U17 (Ж) 0 -0 Завершен Южная Африка U17 (Ж),0-0
Уругвай U17 (Ж) 0 -5 Завершен Гана U17 (Ж),"20' Mumuni F.
25' Abdulai M.
66' Pokuaa M.
78' Abdulai M.
90+1' Abdulai M."
,"22' Fishel M.
45+5' Fontes S.(Пенальти)
81' Fontes S."
Ардс 0 -1 Завершен Баллимина  ,90+3' Winchester J.
Гленторан 2 -4 Завершен Крусейдерс  ,"7' McDaid R.
20' Owens J.
29' Allen C.
59' Cushley D.
63' Owens J.
85' Heatley P."
Явор Иваница 1 -2  (1-1) После серии пенальти Радник  ,"27' Herve Baston A.
46' Ristovic R."
,"21' Rejaibi A.
43' Бадри А.
53' Dhaouadi C."
Оскаршамнс АИК 4 -2 Завершен Варберг,"4' Skogh E.
44' Квист В.
58' Квист В.
66' Krezic D.
71' Christensson C.
90+3' Modig J."
,48' Hellberg S.(Пенальти)
